scope,segment,policy,reward_name,metric,point_estimate,ci_low,ci_high,bootstrap_reps
overall,,logged_behavior,primary,policy_value_plugin,-4.937245783922881,-5.010736214412525,-4.870755283351168,500
overall,,logged_behavior,primary,policy_value_ips,-4.870164784438304,-5.01158399996118,-4.734902917587789,500
overall,,logged_behavior,primary,policy_value_dr,-4.82581953473445,-5.0553059255518225,-4.577199240669998,500
overall,,logged_behavior,primary,estimated_lateness_min,2.0941986143577993,2.030512203759359,2.16676050197026,500
overall,,logged_behavior,primary,estimated_co2_kg,3.715819593573729,3.707062728588792,3.724269003037732,500
overall,,logged_behavior,primary,estimated_crash,0.10607546179615684,0.10534600228247416,0.10681626789463868,500
overall,,logged_behavior,primary,estimated_near_miss,0.5195643164443842,0.5176410017967136,0.5214191916641507,500
overall,,logged_behavior,primary,estimated_on_time,0.8159836429898482,0.8120461457719551,0.8198425477025876,500
segment,high_traffic,logged_behavior,primary,policy_value_plugin,-7.768119628191449,-7.986459846448674,-7.5575821561248695,500
segment,high_traffic,logged_behavior,primary,policy_value_ips,-7.668970216438325,-8.053729478441799,-7.306361467895344,500
segment,high_traffic,logged_behavior,primary,policy_value_dr,-7.542105253899957,-8.16999295648384,-6.9465565004157535,500
segment,high_traffic,logged_behavior,primary,estimated_lateness_min,4.573666741271822,4.371249490637179,4.782315575578071,500
segment,high_traffic,logged_behavior,primary,estimated_co2_kg,3.9449578404274717,3.9269998237555748,3.9632184403886943,500
segment,high_traffic,logged_behavior,primary,estimated_crash,0.12732489178896855,0.12578855831724833,0.12876144857786978,500
segment,high_traffic,logged_behavior,primary,estimated_near_miss,0.5661062004722234,0.5631638341902574,0.5690937980874592,500
segment,high_traffic,logged_behavior,primary,estimated_on_time,0.6773922238566543,0.6678066221775015,0.687126956924622,500
segment,rain_or_event,logged_behavior,primary,policy_value_plugin,-5.766864038742251,-5.884555664382949,-5.656303331451219,500
segment,rain_or_event,logged_behavior,primary,policy_value_ips,-5.687557617309622,-5.873515450835535,-5.492980261555368,500
segment,rain_or_event,logged_behavior,primary,policy_value_dr,-5.615150607365305,-5.937571852627193,-5.3138212922804575,500
segment,rain_or_event,logged_behavior,primary,estimated_lateness_min,2.766310073081657,2.6571127766010405,2.8793067365098857,500
segment,rain_or_event,logged_behavior,primary,estimated_co2_kg,3.751814143377405,3.740340570880426,3.7625330721069252,500
segment,rain_or_event,logged_behavior,primary,estimated_crash,0.11718741449217497,0.11596338376688627,0.11831609128091315,500
segment,rain_or_event,logged_behavior,primary,estimated_near_miss,0.5391584960316816,0.5363569217867896,0.5416668305607529,500
segment,rain_or_event,logged_behavior,primary,estimated_on_time,0.7776201059834681,0.7715498282774824,0.7842537797138727,500
segment,tight_window,logged_behavior,primary,policy_value_plugin,-8.33316309514769,-8.538295039014075,-8.155149298731542,500
segment,tight_window,logged_behavior,primary,policy_value_ips,-8.554927616171092,-8.94813306700431,-8.182685329790841,500
segment,tight_window,logged_behavior,primary,policy_value_dr,-8.776630341660312,-9.401103084218091,-8.173446500533291,500
segment,tight_window,logged_behavior,primary,estimated_lateness_min,5.443719259523874,5.272246553476092,5.642183313213632,500
segment,tight_window,logged_behavior,primary,estimated_co2_kg,3.6948364087688677,3.6760857919835557,3.7104010747546954,500
segment,tight_window,logged_behavior,primary,estimated_crash,0.10950684850168736,0.10795377416001997,0.11092080342525101,500
segment,tight_window,logged_behavior,primary,estimated_near_miss,0.5277040344265844,0.5236529143900253,0.5314973355628556,500
segment,tight_window,logged_behavior,primary,estimated_on_time,0.5354331380704437,0.52675947351928,0.5439188083654004,500
segment,late_day,logged_behavior,primary,policy_value_plugin,-5.1084708753089005,-5.235240663129687,-4.983470777728204,500
segment,late_day,logged_behavior,primary,policy_value_ips,-4.946072681107737,-5.208209731380391,-4.705223313910399,500
segment,late_day,logged_behavior,primary,policy_value_dr,-4.820447175197745,-5.263503654887461,-4.380913424659594,500
segment,late_day,logged_behavior,primary,estimated_lateness_min,2.23536816758129,2.111033484290359,2.359649464859005,500
segment,late_day,logged_behavior,primary,estimated_co2_kg,3.717907002543489,3.703924550052245,3.7352861899584533,500
segment,late_day,logged_behavior,primary,estimated_crash,0.10808525305737789,0.10677656685302891,0.10945814794747544,500
segment,late_day,logged_behavior,primary,estimated_near_miss,0.5243343883225671,0.5212573138875475,0.5276897900349148,500
segment,late_day,logged_behavior,primary,estimated_on_time,0.8105844656822422,0.803602435513591,0.81806122972521,500
overall,,always_eco,primary,policy_value_plugin,-5.091068678562508,-5.161998781229936,-5.0185445839407326,500
overall,,always_eco,primary,policy_value_ips,-5.065859585642069,-5.247857179119363,-4.890356417882551,500
overall,,always_eco,primary,policy_value_dr,-5.061007948717759,-5.22099103942868,-4.914050238562683,500
overall,,always_eco,primary,estimated_lateness_min,2.279020561153626,2.209820174135193,2.346305837026336,500
overall,,always_eco,primary,estimated_co2_kg,3.618228833199939,3.6097798555552094,3.6269107657812674,500
overall,,always_eco,primary,estimated_crash,0.10511568087978226,0.1044820931379428,0.10585855323459537,500
overall,,always_eco,primary,estimated_near_miss,0.5186227709855359,0.516792790498297,0.5204379493722985,500
overall,,always_eco,primary,estimated_on_time,0.8114486440600904,0.8075901198139478,0.8156146059262435,500
segment,high_traffic,always_eco,primary,policy_value_plugin,-8.215331923076521,-8.42771639179428,-7.996280254135262,500
segment,high_traffic,always_eco,primary,policy_value_ips,-8.318645083081122,-8.877919798997373,-7.7603357632578085,500
segment,high_traffic,always_eco,primary,policy_value_dr,-8.373333403750813,-8.878166423098675,-7.866383798112012,500
segment,high_traffic,always_eco,primary,estimated_lateness_min,5.062726423475753,4.855199594809521,5.274151600447588,500
segment,high_traffic,always_eco,primary,estimated_co2_kg,3.813554767947506,3.7965650647483944,3.830004529100738,500
segment,high_traffic,always_eco,primary,estimated_crash,0.1260388164436039,0.12450988231063882,0.12754952503603278,500
segment,high_traffic,always_eco,primary,estimated_near_miss,0.5647531907876138,0.5616503149045627,0.5675741174507045,500
segment,high_traffic,always_eco,primary,estimated_on_time,0.6684344541845594,0.6592284066895394,0.6786350081945642,500
segment,rain_or_event,always_eco,primary,policy_value_plugin,-5.993732161465039,-6.124548373651017,-5.875353081993782,500
segment,rain_or_event,always_eco,primary,policy_value_ips,-6.005556200316816,-6.315661043289711,-5.704825072022008,500
segment,rain_or_event,always_eco,primary,policy_value_dr,-6.050129430806791,-6.308278204432206,-5.792585714887889,500
segment,rain_or_event,always_eco,primary,estimated_lateness_min,3.025293379394337,2.909546216655436,3.1510566882494215,500
segment,rain_or_event,always_eco,primary,estimated_co2_kg,3.6511270868858094,3.639999727746603,3.662734726153658,500
segment,rain_or_event,always_eco,primary,estimated_crash,0.11616631243739974,0.11525041404153266,0.1171658806122784,500
segment,rain_or_event,always_eco,primary,estimated_near_miss,0.5382751201597719,0.535807918168138,0.5406461511399395,500
segment,rain_or_event,always_eco,primary,estimated_on_time,0.7728877235643165,0.7662364473851412,0.7794716558752012,500
segment,tight_window,always_eco,primary,policy_value_plugin,-8.589007982266184,-8.795457705034462,-8.379705247794808,500
segment,tight_window,always_eco,primary,policy_value_ips,-8.89878686412609,-9.539809556319298,-8.429864452542239,500
segment,tight_window,always_eco,primary,policy_value_dr,-8.903222737768955,-9.44019224625389,-8.470074616490244,500
segment,tight_window,always_eco,primary,estimated_lateness_min,5.728491254871459,5.5269340067037955,5.9285439263404145,500
segment,tight_window,always_eco,primary,estimated_co2_kg,3.5930381622756022,3.575641750831069,3.6098044362286816,500
segment,tight_window,always_eco,primary,estimated_crash,0.10880102216113069,0.10735763616933425,0.11021372815932867,500
segment,tight_window,always_eco,primary,estimated_near_miss,0.5269494366641488,0.5235115554137945,0.5305283388478159,500
segment,tight_window,always_eco,primary,estimated_on_time,0.5323116217730145,0.5238890660027254,0.5416481474304009,500
segment,late_day,always_eco,primary,policy_value_plugin,-5.272447222205881,-5.415615362303507,-5.135232991837037,500
segment,late_day,always_eco,primary,policy_value_ips,-5.274133087921557,-5.6244720146703155,-4.903407674490359,500
segment,late_day,always_eco,primary,policy_value_dr,-5.220112274955531,-5.538924837462684,-4.922611596157122,500
segment,late_day,always_eco,primary,estimated_lateness_min,2.431416204143298,2.300552539529208,2.558880231446442,500
segment,late_day,always_eco,primary,estimated_co2_kg,3.619497882543908,3.6053530533711924,3.6333074482359176,500
segment,late_day,always_eco,primary,estimated_crash,0.10704949229246692,0.10583908234601734,0.10832830422826613,500
segment,late_day,always_eco,primary,estimated_near_miss,0.5233182593145663,0.5199477245321359,0.5267053232957505,500
segment,late_day,always_eco,primary,estimated_on_time,0.8055503890103691,0.7984419013213059,0.813055847486302,500
overall,,never_eco,primary,policy_value_plugin,-4.773783473981008,-4.837589782876141,-4.708786695710683,500
overall,,never_eco,primary,policy_value_ips,-4.691244035616367,-4.894683699066753,-4.509590087640492,500
overall,,never_eco,primary,policy_value_dr,-4.692417954637327,-4.890973358244751,-4.517375847320646,500
overall,,never_eco,primary,estimated_lateness_min,1.8879995412064905,1.8270386168938688,1.9461599144567734,500
overall,,never_eco,primary,estimated_co2_kg,3.8462128412749417,3.8378675337966346,3.8556581615597136,500
overall,,never_eco,primary,estimated_crash,0.10741699996994869,0.1066975704500511,0.10806825885365996,500
overall,,never_eco,primary,estimated_near_miss,0.5211856824100212,0.5193672361890707,0.5228909464587579,500
overall,,never_eco,primary,estimated_on_time,0.821627765575071,0.8177763010472584,0.8257154903028564,500
segment,high_traffic,never_eco,primary,policy_value_plugin,-7.367256097766579,-7.563247874205846,-7.186898805181346,500
segment,high_traffic,never_eco,primary,policy_value_ips,-7.065667631140834,-7.5594301527845245,-6.6479954566951225,500
segment,high_traffic,never_eco,primary,policy_value_dr,-6.983240242800796,-7.393549645999551,-6.593828140454506,500
segment,high_traffic,never_eco,primary,estimated_lateness_min,4.131670124916622,3.9558133328791962,4.31963658076236,500
segment,high_traffic,never_eco,primary,estimated_co2_kg,4.07080342384305,4.054778376068703,4.087460912848395,500
segment,high_traffic,never_eco,primary,estimated_crash,0.12857483705294573,0.12703907246018065,0.13009609812897469,500
segment,high_traffic,never_eco,primary,estimated_near_miss,0.5678384587759452,0.5647355425627527,0.5707516387645192,500
segment,high_traffic,never_eco,primary,estimated_on_time,0.6857278449005116,0.6748283936377204,0.6949989099400135,500
segment,rain_or_event,never_eco,primary,policy_value_plugin,-5.53755325030673,-5.640625731075508,-5.432312775574566,500
segment,rain_or_event,never_eco,primary,policy_value_ips,-5.3788294421204865,-5.645838382904664,-5.089268990679096,500
segment,rain_or_event,never_eco,primary,policy_value_dr,-5.329442549588032,-5.611565364314498,-5.070737450364002,500
segment,rain_or_event,never_eco,primary,estimated_lateness_min,2.493245441215321,2.3899394044429325,2.590432387031688,500
segment,rain_or_event,never_eco,primary,estimated_co2_kg,3.885383539630146,3.872657972701049,3.898349822201908,500
segment,rain_or_event,never_eco,primary,estimated_crash,0.11859631397922102,0.11748384716570469,0.11959649996526849,500
segment,rain_or_event,never_eco,primary,estimated_near_miss,0.5406339806865846,0.5381266631471191,0.543002925716354,500
segment,rain_or_event,never_eco,primary,estimated_on_time,0.7832542347075563,0.7779537285715227,0.7892015115213857,500
segment,tight_window,never_eco,primary,policy_value_plugin,-8.028198413462736,-8.224371293319173,-7.85800620508934,500
segment,tight_window,never_eco,primary,policy_value_ips,-8.229651975715777,-8.77987236193556,-7.775506409292693,500
segment,tight_window,never_eco,primary,policy_value_dr,-8.157450904472585,-8.633631954781022,-7.753049630500271,500
segment,tight_window,never_eco,primary,estimated_lateness_min,5.103105479960738,4.943347084042809,5.296679734608346,500
segment,tight_window,never_eco,primary,estimated_co2_kg,3.819220413198713,3.8000245645659203,3.836688019538863,500
segment,tight_window,never_eco,primary,estimated_crash,0.11033991938233921,0.10884152612597854,0.11181431359566081,500
segment,tight_window,never_eco,primary,estimated_near_miss,0.5289248285194316,0.5250399941715064,0.532504672824379,500
segment,tight_window,never_eco,primary,estimated_on_time,0.5394902601713569,0.5314963943230135,0.5472218363930603,500
segment,late_day,never_eco,primary,policy_value_plugin,-4.918952443640214,-5.045150834065532,-4.803250725702778,500
segment,late_day,never_eco,primary,policy_value_ips,-4.63514304850713,-4.941309253339053,-4.303425079368816,500
segment,late_day,never_eco,primary,policy_value_dr,-4.68326369077941,-4.9877149560544565,-4.359240849243491,500
segment,late_day,never_eco,primary,estimated_lateness_min,1.9998511383583681,1.891639304762189,2.1190299300869335,500
segment,late_day,never_eco,primary,estimated_co2_kg,3.8535507648756866,3.838911403321496,3.868674953605874,500
segment,late_day,never_eco,primary,estimated_crash,0.1096297224714563,0.10840871137639492,0.11097758036312103,500
segment,late_day,never_eco,primary,estimated_near_miss,0.5260469637960727,0.5229754230508656,0.5292876631924391,500
segment,late_day,never_eco,primary,estimated_on_time,0.8170354133240991,0.8088689424982032,0.8230902150257748,500
overall,,heuristic_risk_rule,primary,policy_value_plugin,-4.806007237396387,-4.865085252902907,-4.740838040698658,500
overall,,heuristic_risk_rule,primary,policy_value_ips,-4.754386215580872,-4.956948454093093,-4.5870244145140555,500
overall,,heuristic_risk_rule,primary,policy_value_dr,-4.63770390236778,-4.78699654047144,-4.4996588492801655,500
overall,,heuristic_risk_rule,primary,estimated_lateness_min,1.9655050682637265,1.9048907316258794,2.021012808118671,500
overall,,heuristic_risk_rule,primary,estimated_co2_kg,3.7118849454643983,3.7038713642325156,3.7205119505378264,500
overall,,heuristic_risk_rule,primary,estimated_crash,0.10589258461739555,0.10521476212714237,0.1065802775339799,500
overall,,heuristic_risk_rule,primary,estimated_near_miss,0.5195996669329125,0.517814158831552,0.5213094783641758,500
overall,,heuristic_risk_rule,primary,estimated_on_time,0.8170522458713028,0.8135539362734007,0.8210874668198884,500
segment,high_traffic,heuristic_risk_rule,primary,policy_value_plugin,-7.424132381149479,-7.599949500923181,-7.255599573413547,500
segment,high_traffic,heuristic_risk_rule,primary,policy_value_ips,-7.314010205221806,-7.767082747301713,-6.870903190510888,500
segment,high_traffic,heuristic_risk_rule,primary,policy_value_dr,-7.159191085260012,-7.589932789670632,-6.739362675068814,500
segment,high_traffic,heuristic_risk_rule,primary,estimated_lateness_min,4.221605223872884,4.061125842884107,4.3925735968201485,500
segment,high_traffic,heuristic_risk_rule,primary,estimated_co2_kg,3.9734870357068734,3.956599355554533,3.9914798204436828,500
segment,high_traffic,heuristic_risk_rule,primary,estimated_crash,0.1274466916205563,0.12586494419487987,0.12900937895881343,500
segment,high_traffic,heuristic_risk_rule,primary,estimated_near_miss,0.5666814169648287,0.5635256453886002,0.5696913657461834,500
segment,high_traffic,heuristic_risk_rule,primary,estimated_on_time,0.6818392857217359,0.6725462315962396,0.6902034179062866,500
segment,rain_or_event,heuristic_risk_rule,primary,policy_value_plugin,-5.580276501984506,-5.6866677867541755,-5.471331304176033,500
segment,rain_or_event,heuristic_risk_rule,primary,policy_value_ips,-5.41346847039238,-5.704400998516249,-5.100246416267902,500
segment,rain_or_event,heuristic_risk_rule,primary,policy_value_dr,-5.321237033642541,-5.564293816663276,-5.0498439420550225,500
segment,rain_or_event,heuristic_risk_rule,primary,estimated_lateness_min,2.5775677338351124,2.475089369695418,2.6779984164683706,500
segment,rain_or_event,heuristic_risk_rule,primary,estimated_co2_kg,3.7618078773110644,3.7499846120644316,3.7746099864888594,500
segment,rain_or_event,heuristic_risk_rule,primary,estimated_crash,0.11716180897587526,0.11597937610408893,0.11825190939873384,500
segment,rain_or_event,heuristic_risk_rule,primary,estimated_near_miss,0.5393645514642138,0.5366287269955659,0.5418081373513091,500
segment,rain_or_event,heuristic_risk_rule,primary,estimated_on_time,0.7793879499697236,0.7736961467523162,0.7855391062671736,500
segment,tight_window,heuristic_risk_rule,primary,policy_value_plugin,-8.033920549383232,-8.207002809112844,-7.846042643203659,500
segment,tight_window,heuristic_risk_rule,primary,policy_value_ips,-8.25555275412946,-8.815020353581458,-7.790998620681627,500
segment,tight_window,heuristic_risk_rule,primary,policy_value_dr,-8.137989106982666,-8.60376211237262,-7.707547673351386,500
segment,tight_window,heuristic_risk_rule,primary,estimated_lateness_min,5.113360950174203,4.940880151503501,5.279406217375367,500
segment,tight_window,heuristic_risk_rule,primary,estimated_co2_kg,3.8017613278458056,3.7832657284845523,3.820854457567327,500
segment,tight_window,heuristic_risk_rule,primary,estimated_crash,0.11026134114662911,0.10879291983195047,0.11171107158117088,500
segment,tight_window,heuristic_risk_rule,primary,estimated_near_miss,0.5287969610867888,0.5250841222934992,0.5323301251626421,500
segment,tight_window,heuristic_risk_rule,primary,estimated_on_time,0.5393325310920247,0.5310903494446796,0.5479916576222584,500
segment,late_day,heuristic_risk_rule,primary,policy_value_plugin,-4.949376584205735,-5.069896545346638,-4.853504670121353,500
segment,late_day,heuristic_risk_rule,primary,policy_value_ips,-4.645153508542946,-4.953003623080868,-4.321390492197271,500
segment,late_day,heuristic_risk_rule,primary,policy_value_dr,-4.60495468769824,-4.902662006547789,-4.304915806823718,500
segment,late_day,heuristic_risk_rule,primary,estimated_lateness_min,2.0778087721991496,1.981852855174784,2.1946308600469453,500
segment,late_day,heuristic_risk_rule,primary,estimated_co2_kg,3.716672551785325,3.700365135982619,3.7319661175417926,500
segment,late_day,heuristic_risk_rule,primary,estimated_crash,0.10795333512921922,0.10665199647475973,0.10917481856386313,500
segment,late_day,heuristic_risk_rule,primary,estimated_near_miss,0.5243499751786642,0.5207472401813851,0.5276790199453022,500
segment,late_day,heuristic_risk_rule,primary,estimated_on_time,0.8122765746428365,0.8045354047689215,0.8185952267790325,500
overall,,non_causal_fqi,primary,policy_value_plugin,-4.843138678047233,-4.920509782891191,-4.786490826017029,500
overall,,non_causal_fqi,primary,policy_value_ips,-4.184343608789038,-4.321664255853787,-4.045336766352721,500
overall,,non_causal_fqi,primary,policy_value_dr,-4.520690868651498,-4.707074399896758,-4.336142119670751,500
overall,,non_causal_fqi,primary,estimated_lateness_min,1.994812349686652,1.941783185947739,2.0673431935635316,500
overall,,non_causal_fqi,primary,estimated_co2_kg,3.734256630889765,3.7262146756595005,3.743176285244717,500
overall,,non_causal_fqi,primary,estimated_crash,0.10618346815739374,0.1055455418386868,0.10691621518776992,500
overall,,non_causal_fqi,primary,estimated_near_miss,0.5198201603043457,0.5178201291618348,0.5217144715307818,500
overall,,non_causal_fqi,primary,estimated_on_time,0.8178883064363414,0.8136374589570381,0.8212115737224256,500
segment,high_traffic,non_causal_fqi,primary,policy_value_plugin,-7.521469725436281,-7.70938623112921,-7.32185577147967,500
segment,high_traffic,non_causal_fqi,primary,policy_value_ips,-6.427267679082549,-6.821510093328715,-6.056936009448002,500
segment,high_traffic,non_causal_fqi,primary,policy_value_dr,-6.891412991046716,-7.413042476483335,-6.460085551844697,500
segment,high_traffic,non_causal_fqi,primary,estimated_lateness_min,4.315881460354888,4.134784225903567,4.491950245897786,500
segment,high_traffic,non_causal_fqi,primary,estimated_co2_kg,3.97942633886019,3.960084908455044,3.9964604911795867,500
segment,high_traffic,non_causal_fqi,primary,estimated_crash,0.12762910755512716,0.12598213306933437,0.1293465174819733,500
segment,high_traffic,non_causal_fqi,primary,estimated_near_miss,0.566705960879042,0.56357874023911,0.569262067378899,500
segment,high_traffic,non_causal_fqi,primary,estimated_on_time,0.6822799066462231,0.6737376938361649,0.6917010266325536,500
segment,rain_or_event,non_causal_fqi,primary,policy_value_plugin,-5.6308963192677846,-5.7380604010030485,-5.5220430017207605,500
segment,rain_or_event,non_causal_fqi,primary,policy_value_ips,-4.785517843280594,-5.015300039714904,-4.5773739577501305,500
segment,rain_or_event,non_causal_fqi,primary,policy_value_dr,-5.12292704606567,-5.4267707570002655,-4.869632385226762,500
segment,rain_or_event,non_causal_fqi,primary,estimated_lateness_min,2.622726833338409,2.5233765464215177,2.7264074352413203,500
segment,rain_or_event,non_causal_fqi,primary,estimated_co2_kg,3.777684102499074,3.7636244057351576,3.7908770293386835,500
