scope,segment,policy,reward_name,metric,point_estimate,ci_low,ci_high,bootstrap_reps,bootstrap_method
overall,,logged_behavior,primary,policy_value_plugin,-4.937245783922881,-5.005256130060432,-4.866785115298002,500,cluster
overall,,logged_behavior,primary,policy_value_ips,-4.870164784438304,-4.996411668833258,-4.740605730295699,500,cluster
overall,,logged_behavior,primary,policy_value_dr,-4.82581953473445,-5.046102352273986,-4.594192247824125,500,cluster
overall,,logged_behavior,primary,estimated_lateness_min,2.0941986143577993,2.026995550413236,2.1536168220200933,500,cluster
overall,,logged_behavior,primary,estimated_co2_kg,3.715819593573729,3.703894000102391,3.729402049609053,500,cluster
overall,,logged_behavior,primary,estimated_crash,0.10607546179615684,0.10517918159469111,0.1068871298855177,500,cluster
overall,,logged_behavior,primary,estimated_near_miss,0.5195643164443842,0.5169349500125342,0.5219663360028904,500,cluster
overall,,logged_behavior,primary,estimated_on_time,0.8159836429898482,0.8122743685295807,0.8205136608465583,500,cluster
overall,,always_eco,primary,policy_value_plugin,-5.091068678562508,-5.155877882950985,-5.019532406632247,500,cluster
overall,,always_eco,primary,policy_value_ips,-5.065859585642069,-5.2607908870770554,-4.887500117126706,500,cluster
overall,,always_eco,primary,policy_value_dr,-5.061007948717759,-5.227261750099145,-4.896443080245183,500,cluster
overall,,always_eco,primary,estimated_lateness_min,2.279020561153626,2.2128902294391106,2.341135064672444,500,cluster
overall,,always_eco,primary,estimated_co2_kg,3.618228833199939,3.604178688718478,3.6304513749221314,500,cluster
overall,,always_eco,primary,estimated_crash,0.10511568087978226,0.10425823609763867,0.10594296446597452,500,cluster
overall,,always_eco,primary,estimated_near_miss,0.5186227709855359,0.5157468264252044,0.5212778001454148,500,cluster
overall,,always_eco,primary,estimated_on_time,0.8114486440600904,0.8078458421037928,0.8154850503773144,500,cluster
overall,,never_eco,primary,policy_value_plugin,-4.773783473981008,-4.836748581220443,-4.706800629549832,500,cluster
overall,,never_eco,primary,policy_value_ips,-4.691244035616367,-4.890090700539699,-4.499752600630875,500,cluster
overall,,never_eco,primary,policy_value_dr,-4.692417954637327,-4.905425766215002,-4.519562319189571,500,cluster
overall,,never_eco,primary,estimated_lateness_min,1.8879995412064905,1.8264922513605892,1.9467511908956383,500,cluster
overall,,never_eco,primary,estimated_co2_kg,3.8462128412749417,3.833180835219177,3.862470999751534,500,cluster
overall,,never_eco,primary,estimated_crash,0.10741699996994869,0.10648285797261832,0.10831128911517625,500,cluster
overall,,never_eco,primary,estimated_near_miss,0.5211856824100212,0.5186161616651175,0.5238682796938484,500,cluster
overall,,never_eco,primary,estimated_on_time,0.821627765575071,0.8177152869021646,0.8253736139422457,500,cluster
overall,,heuristic_risk_rule,primary,policy_value_plugin,-4.806007237396387,-4.870668509504697,-4.745400666903024,500,cluster
overall,,heuristic_risk_rule,primary,policy_value_ips,-4.754386215580872,-4.9645958603605465,-4.55924908496306,500,cluster
overall,,heuristic_risk_rule,primary,policy_value_dr,-4.63770390236778,-4.826267965883854,-4.483043507084154,500,cluster
overall,,heuristic_risk_rule,primary,estimated_lateness_min,1.9655050682637265,1.9080306032335732,2.024372683532932,500,cluster
overall,,heuristic_risk_rule,primary,estimated_co2_kg,3.7118849454643983,3.698581999996903,3.7249831973547916,500,cluster
overall,,heuristic_risk_rule,primary,estimated_crash,0.10589258461739555,0.10493979358866434,0.10676528508532199,500,cluster
overall,,heuristic_risk_rule,primary,estimated_near_miss,0.5195996669329125,0.5169355283177227,0.522210597593775,500,cluster
overall,,heuristic_risk_rule,primary,estimated_on_time,0.8170522458713028,0.8131306557213026,0.820869820403254,500,cluster
overall,,non_causal_fqi,primary,policy_value_plugin,-4.843138678047233,-4.91006152512001,-4.784692285211196,500,cluster
overall,,non_causal_fqi,primary,policy_value_ips,-4.184343608789038,-4.323474101877285,-4.042743914675601,500,cluster
overall,,non_causal_fqi,primary,policy_value_dr,-4.520690868651498,-4.710154946750204,-4.351189093771034,500,cluster
overall,,non_causal_fqi,primary,estimated_lateness_min,1.994812349686652,1.9372326270233777,2.0583584012365423,500,cluster
overall,,non_causal_fqi,primary,estimated_co2_kg,3.734256630889765,3.7210715052928696,3.7478933660488494,500,cluster
overall,,non_causal_fqi,primary,estimated_crash,0.10618346815739374,0.10532880230387337,0.10708802128536789,500,cluster
overall,,non_causal_fqi,primary,estimated_near_miss,0.5198201603043457,0.5171164550797633,0.5224744423440871,500,cluster
overall,,non_causal_fqi,primary,estimated_on_time,0.8178883064363414,0.8138892130266063,0.8215889155383644,500,cluster
overall,,causal_fqi,primary,policy_value_plugin,-4.831580129800899,-4.889567739572667,-4.772299845719486,500,cluster
overall,,causal_fqi,primary,policy_value_ips,-4.288815809850753,-4.4225730222848085,-4.148284953297727,500,cluster
overall,,causal_fqi,primary,policy_value_dr,-4.6940920810855244,-4.864930272364063,-4.496011269357461,500,cluster
overall,,causal_fqi,primary,estimated_lateness_min,1.982181055767413,1.9275873558704726,2.037589337069432,500,cluster
overall,,causal_fqi,primary,estimated_co2_kg,3.736839525028662,3.723466719584108,3.7505251029461113,500,cluster
overall,,causal_fqi,primary,estimated_crash,0.10623617269842076,0.10541639788057443,0.10718505356179257,500,cluster
overall,,causal_fqi,primary,estimated_near_miss,0.5198347210217726,0.5174106388931417,0.5223962327130888,500,cluster
overall,,causal_fqi,primary,estimated_on_time,0.8182224757545269,0.8143253866779754,0.8220883914991887,500,cluster
overall,,causal_no_history_fqi,primary,policy_value_plugin,-4.832476711415686,-4.9005041001068355,-4.7617353489435645,500,cluster
overall,,causal_no_history_fqi,primary,policy_value_ips,-4.286738200150217,-4.423981638604092,-4.139461786034965,500,cluster
overall,,causal_no_history_fqi,primary,policy_value_dr,-4.686701593289247,-4.847534452947484,-4.478937595799216,500,cluster
overall,,causal_no_history_fqi,primary,estimated_lateness_min,1.9836299382798521,1.9190592918518943,2.048658855534765,500,cluster
overall,,causal_no_history_fqi,primary,estimated_co2_kg,3.734882720579832,3.721842514025361,3.7477141869466966,500,cluster
overall,,causal_no_history_fqi,primary,estimated_crash,0.10622706618693789,0.10540804013557793,0.10706546700341092,500,cluster
overall,,causal_no_history_fqi,primary,estimated_near_miss,0.5197997835752444,0.517057875873479,0.522423917497111,500,cluster
overall,,causal_no_history_fqi,primary,estimated_on_time,0.8181112025739162,0.8139228920668147,0.8224849610302983,500,cluster
overall,,causal_no_vehicle_id_fqi,primary,policy_value_plugin,-4.833723390339195,-4.893865949650897,-4.767629300467035,500,cluster
overall,,causal_no_vehicle_id_fqi,primary,policy_value_ips,-4.263002501600034,-4.391022905765055,-4.131928503895081,500,cluster
overall,,causal_no_vehicle_id_fqi,primary,policy_value_dr,-4.670348275548825,-4.844761096655406,-4.471229668130358,500,cluster
overall,,causal_no_vehicle_id_fqi,primary,estimated_lateness_min,1.9845570170587885,1.9272955612224463,2.0433628565452255,500,cluster
overall,,causal_no_vehicle_id_fqi,primary,estimated_co2_kg,3.735822275547812,3.7233770183654022,3.7494388975809034,500,cluster
overall,,causal_no_vehicle_id_fqi,primary,estimated_crash,0.10623484406616883,0.10531544262143697,0.10713963363438495,500,cluster
overall,,causal_no_vehicle_id_fqi,primary,estimated_near_miss,0.5198267387545781,0.517220505686501,0.5224724504045458,500,cluster
overall,,causal_no_vehicle_id_fqi,primary,estimated_on_time,0.8181194416466115,0.8140044718053896,0.8219889033849652,500,cluster
overall,,minimal_fqi,primary,policy_value_plugin,-4.870075467039217,-4.931391917312619,-4.807718172347623,500,cluster
overall,,minimal_fqi,primary,policy_value_ips,-4.423082043165765,-4.563996814773085,-4.282192720762398,500,cluster
overall,,minimal_fqi,primary,policy_value_dr,-4.810388211039625,-5.012728113938479,-4.617620420639227,500,cluster
overall,,minimal_fqi,primary,estimated_lateness_min,2.0207099673354523,1.9624332108011797,2.0785079717597794,500,cluster
overall,,minimal_fqi,primary,estimated_co2_kg,3.7365360475282445,3.723244988548774,3.750091164925849,500,cluster
overall,,minimal_fqi,primary,estimated_crash,0.10623708271271594,0.10530548367071788,0.10714562201309885,500,cluster
overall,,minimal_fqi,primary,estimated_near_miss,0.5198437315354776,0.5171699432604981,0.522819296137556,500,cluster
overall,,minimal_fqi,primary,estimated_on_time,0.8173281748519308,0.8137674185166678,0.8211616954158513,500,cluster
